ranking,municipio,uf,area urbana km²
336,Abaetetuba,Pará,26.1655
337,Itaúna,Minas Gerais,26.0895
338,Cascavel,Ceará,25.815
339,Jarinu,São Paulo,25.736
340,Pará de Minas,Minas Gerais,25.7228
341,Votuporanga,São Paulo,25.6509
342,Itabira,Minas Gerais,25.6269
343,Jaboticatubas,Minas Gerais,25.6171
344,São Francisco de Itabapoana,Rio de Janeiro,25.6124
345,Votorantim,São Paulo,25.5406
346,Sapucaia do Sul,Rio Grande do Sul,25.4238
347,Içara,Santa Catarina,25.4094
348,Itapipoca,Ceará,25.4018
349,Tramandaí,Rio Grande do Sul,25.3493
350,Leme,São Paulo,25.2421
351,Goiana,Pernambuco,25.2075
352,Venâncio Aires,Rio Grande do Sul,25.2058
353,Irati,Paraná,25.1879
354,Osório,Rio Grande do Sul,24.9244
355,São João da Boa Vista,São Paulo,24.9131
356,Cachoeira do Sul,Rio Grande do Sul,24.9111
357,Picos,Piauí,24.7503
358,Cachoeirinha,Rio Grande do Sul,24.7179
359,Mateus Leme,Minas Gerais,24.7114
360,Ribeirão Pires,São Paulo,24.6212
361,Jaboticabal,São Paulo,24.5807
362,Planaltina,Goiás,24.5539
363,Cachoeiras de Macacu,Rio de Janeiro,24.5453
364,Passos,Minas Gerais,24.5124
365,Montenegro,Rio Grande do Sul,24.4684
366,Mineiros,Goiás,24.358
367,Sant'Ana do Livramento,Rio Grande do Sul,24.3109
368,Eunápolis,Bahia,24.2477
369,Lavras,Minas Gerais,24.1512
370,Capão da Canoa,Rio Grande do Sul,24.1052
371,Jaguariúna,São Paulo,24.0386
372,São João del-Rei,Minas Gerais,24.0179
373,Eldorado do Sul,Rio Grande do Sul,24.0114
374,Teófilo Otoni,Minas Gerais,24.0052
375,Campos do Jordão,São Paulo,23.9904
376,Navegantes,Santa Catarina,23.8914
377,Timbó,Santa Catarina,23.7804
378,Luís Correia,Piauí,23.7032
379,Sarandi,Paraná,23.6519
380,Torres,Rio Grande do Sul,23.6392
381,Curvelo,Minas Gerais,23.6312
382,Campo Limpo Paulista,São Paulo,23.6015
383,Primavera do Leste,Mato Grosso,23.5927
384,Vacaria,Rio Grande do Sul,23.5927
385,Gravatá,Pernambuco,23.4796
386,Garanhuns,Pernambuco,23.4145
387,Matão,São Paulo,23.3691
388,Embu-Guaçu,São Paulo,23.3597
389,Canoinhas,Santa Catarina,23.3201
390,São Cristóvão,Sergipe,23.2422
391,Rolim de Moura,Rondônia,23.2247
392,Itapira,São Paulo,23.1583
393,Canaã dos Carajás,Pará,23.1277
394,Pomerode,Santa Catarina,23.0944
395,Corumbá,Mato Grosso do Sul,23.0607
396,Fernandópolis,São Paulo,23.0517
397,Guanambi,Bahia,23.037
398,Brumadinho,Minas Gerais,23.0242
399,Extremoz,Rio Grande do Norte,22.9874
400,Mococa,São Paulo,22.9444
401,Lucas do Rio Verde,Mato Grosso,22.8797
402,Lins,São Paulo,22.8165
403,Congonhas do Norte,Minas Gerais,22.7725
404,Santa Rita,Paraíba,22.7408
405,Juína,Mato Grosso,22.718
406,Arujá,São Paulo,22.7045
407,Ouro Preto,Minas Gerais,22.6879
408,Goianira,Goiás,22.6247
409,Ibirité,Minas Gerais,22.6038
410,Guaíba,Rio Grande do Sul,22.6015
411,Rolândia,Paraná,22.5915
412,Cianorte,Paraná,22.5541
413,Pontal do Paraná,Paraná,22.457
414,Alta Floresta,Mato Grosso,22.427
