municipio,uf,populacao,ranking populacao,area urbana km²,ranking area urbana,habitantes por km²,ranking densidade
Tatuí,São Paulo,123942,245,36.7576,209,3371.8741158291077,260
Araras,São Paulo,130866,230,38.8556,193,3368.0087297583873,261
Lages,Santa Catarina,164981,182,49.2617,141,3349.0724031042373,262
Foz do Iguaçu,Paraná,285415,97,85.2285,62,3348.821110309345,263
Altamira,Pará,126279,241,37.7369,200,3346.300305536491,264
Cambé,Paraná,107208,290,32.1643,257,3333.136427654263,265
Criciúma,Santa Catarina,214493,145,64.6227,99,3319.1587476227396,266
Arapongas,Paraná,119138,254,35.8991,215,3318.6904407074276,267
Jaraguá do Sul,Santa Catarina,182660,164,55.1189,123,3313.926801877396,268
Araucária,Paraná,151666,198,45.816,153,3310.3282696001397,269
Itaguaí,Rio de Janeiro,116841,264,35.3579,219,3304.523175867345,270
Bagé,Rio Grande do Sul,117938,260,35.7873,216,3295.5266253670993,271
Sorriso,Mato Grosso,110635,284,33.6405,237,3288.744221994322,272
Viamão,Rio Grande do Sul,224112,140,68.4906,89,3272.157055128733,273
Apucarana,Paraná,130134,231,39.874,178,3263.630435873,274
Catanduva,São Paulo,115791,267,35.5679,218,3255.491609006998,275
Campo Largo,Paraná,136327,217,41.9574,171,3249.176545734483,276
São Pedro da Aldeia,Rio de Janeiro,104029,303,32.0309,259,3247.7701219759665,277
Araguaína,Tocantins,171301,170,53.065,127,3228.1353057570905,278
Porto Velho,Rondônia,460434,49,143.0943,21,3217.696302368438,279
Toledo,Paraná,150470,200,46.989,149,3202.238821851923,280
Barretos,São Paulo,122485,250,38.2615,198,3201.259751969996,281
São Carlos,São Paulo,254857,113,79.8655,70,3191.07749904527,282
Catalão,Goiás,114427,272,36.1423,212,3166.0132310339964,283
Guaratinguetá,São Paulo,118044,259,37.3345,203,3161.794051078761,284
Guarapuava,Paraná,182093,165,57.9451,117,3142.50903009918,285
Jataí,Goiás,105729,294,34.1225,233,3098.51271155396,286
Dourados,Mato Grosso do Sul,243367,120,78.5508,73,3098.21160319182,287
Teresópolis,Rio de Janeiro,165123,181,54.0146,126,3057.0068092700863,288
Ourinhos,São Paulo,103970,304,34.3631,230,3025.6292360118846,289
Luís Eduardo Magalhães,Bahia,107909,288,35.6976,217,3022.86428219264,290
Araraquara,São Paulo,242228,121,80.171,68,3021.3917750807645,291
Bragança Paulista,São Paulo,176811,168,59.5211,111,2970.5600198921056,292
Umuarama,Paraná,117095,263,39.4245,187,2970.107420512625,293
Rio Grande,Rio Grande do Sul,191900,158,64.7847,97,2962.1191423283585,294
Camaçari,Bahia,300372,92,102.4264,42,2932.5642607765185,295
Palmas,Tocantins,302692,91,104.4644,40,2897.5612744628793,296
Ji-Paraná,Rondônia,124333,244,43.3746,166,2866.4932933099094,297
Tubarão,Santa Catarina,110088,286,38.4515,196,2863.0352522008243,298
Botucatu,São Paulo,145155,208,51.4859,132,2819.31557960529,299
Sinop,Mato Grosso,196312,155,69.6655,87,2817.9227881806637,300
Rondonópolis,Mato Grosso,244911,118,87.0089,57,2814.7810166546183,301
Paulínia,São Paulo,110537,285,39.4967,186,2798.638873627417,302
Itumbiara,Goiás,107970,287,38.9345,192,2773.118956195662,303
Brusque,Santa Catarina,141385,212,51.1729,135,2762.8881693239978,304
Santa Cruz do Sul,Rio Grande do Sul,133230,224,48.2554,145,2760.9345275347423,305
Itu,São Paulo,168240,174,61.5983,105,2731.244206414787,306
Erechim,Rio Grande do Sul,105705,295,38.8537,194,2720.5903170097054,307
Três Lagoas,Mato Grosso do Sul,132152,225,48.9569,142,2699.3539215105534,308
Luziânia,Goiás,209129,146,77.4962,75,2698.5710267084064,309
Nova Lima,Minas Gerais,111697,281,41.9786,170,2660.8081260451754,310
Valinhos,São Paulo,126373,240,48.3038,143,2616.212389087401,311
Itanhaém,São Paulo,112476,277,44.3799,156,2534.3905687033994,312
Atibaia,São Paulo,158647,188,64.2782,100,2468.130719279631,313
Itaboraí,Rio de Janeiro,224267,139,92.8138,52,2416.310936520216,314
Itatiba,São Paulo,121590,251,52.2255,130,2328.1730189275354,315
Maricá,Rio de Janeiro,197277,154,85.8766,60,2297.214840829749,316
Araruama,Rio de Janeiro,129671,232,64.8404,96,1999.848859661569,317
